PERMNO,from,thru
13035,2011-11-01,2023-12-29
21979,2011-11-23,2012-11-30
15553,2011-12-13,2016-06-30
77182,2011-12-19,2021-09-17
81481,2011-12-19,2023-12-29
79545,2011-12-19,2023-12-29
13168,2011-12-21,2019-12-20
13141,2012-01-03,2014-03-21
86339,2012-03-14,2023-12-29
79089,2012-04-04,2016-01-04
13356,2012-05-01,2023-12-29
12558,2012-05-25,2023-12-29
83111,2012-05-25,2021-07-20
48486,2012-06-05,2023-12-29
88031,2012-06-29,2023-12-29
89641,2012-07-02,2023-12-29
93159,2012-07-31,2016-03-29
12345,2012-09-05,2023-12-29
13567,2012-10-01,2016-05-02
13586,2012-10-01,2023-12-29
13598,2012-10-02,2015-07-02
79411,2012-10-05,2015-03-11
93096,2012-12-03,2023-12-29
88837,2012-12-12,2023-12-29
13103,2012-12-24,2023-12-29
13721,2013-01-02,2023-12-29
13936,2013-02-14,2022-09-16
76614,2013-05-01,2023-12-29
80399,2013-05-09,2019-12-20
12650,2013-05-24,2021-12-13
12369,2013-06-07,2023-12-29
13788,2013-06-24,2023-12-29
13963,2013-07-01,2023-12-29
12542,2013-07-09,2022-10-11
91926,2013-09-11,2023-12-29
85257,2013-09-23,2023-12-29
76744,2013-09-23,2023-12-29
79237,2013-10-29,2017-07-25
13142,2013-11-13,2020-05-11
14297,2013-12-02,2023-12-29
79129,2013-12-10,2018-08-27
77496,2013-12-23,2023-12-29
13407,2013-12-23,2023-12-29
89002,2013-12-23,2020-06-19
80286,2014-01-24,2023-12-29
79588,2014-03-24,2016-03-04
80681,2014-04-02,2023-12-29
14542,2014-04-03,2023-12-29
14601,2014-05-01,2018-06-04
90979,2014-05-01,2022-06-17
93002,2014-05-08,2023-12-29
89509,2014-06-23,2020-03-02
85593,2014-07-01,2019-12-20
80204,2014-07-02,2023-12-29
92778,2014-08-07,2022-04-08
14011,2014-08-19,2017-07-25
85663,2014-09-22,2023-12-29
79637,2014-09-22,2023-12-29
85991,2014-11-05,2017-10-12
79145,2014-12-05,2023-12-29
12622,2015-01-27,2023-12-29
88436,2015-01-27,2017-03-01
45911,2015-03-12,2023-12-29
82581,2015-03-18,2023-12-29
21020,2015-03-23,2023-12-29
89617,2015-03-23,2023-12-29
85265,2015-03-23,2021-03-19
91416,2015-03-23,2021-12-17
81045,2015-04-07,2023-12-29
85035,2015-06-12,2023-12-29
15401,2015-07-01,2016-06-02
42877,2015-07-01,2023-12-29
15404,2015-07-02,2016-07-05
15408,2015-07-06,2023-12-29
89217,2015-07-09,2023-08-24
15488,2015-07-20,2023-12-29
12076,2015-07-29,2018-03-16
79678,2015-08-31,2023-10-17
91103,2015-09-03,2023-12-29
89565,2015-09-21,2015-12-11
90442,2015-09-21,2019-03-19
13964,2015-09-21,2023-12-29
93089,2015-10-08,2023-12-29
15707,2015-11-02,2023-12-29
15719,2015-11-10,2015-11-10
14776,2015-11-18,2023-12-29
88446,2015-11-19,2023-12-29
15797,2015-11-30,2018-04-03
23393,2015-12-29,2023-12-29
89017,2016-01-05,2023-12-29
90305,2016-01-19,2023-12-29
14889,2016-02-01,2023-12-29
58413,2016-02-01,2023-12-29
92239,2016-02-22,2021-01-20
92614,2016-03-04,2023-12-29
59300,2016-03-07,2023-12-29
76095,2016-03-30,2023-12-29
89269,2016-03-30,2023-12-29
15456,2016-04-04,2019-08-08
15980,2016-04-08,2022-06-17
92322,2016-04-18,2023-12-29
88873,2016-04-25,2023-12-29
89216,2016-05-03,2018-06-15
28804,2016-05-13,2023-12-15
92772,2016-05-13,2016-05-13
16044,2016-05-16,2016-05-16
90373,2016-05-18,2023-12-29
89866,2016-05-23,2023-12-29
38093,2016-05-31,2023-12-29
91152,2016-06-03,2023-12-29
12981,2016-06-24,2022-12-16
58819,2016-07-01,2023-12-29
80191,2016-07-01,2023-12-29
16087,2016-07-05,2023-12-29
85621,2016-09-06,2023-12-29
16267,2016-09-07,2016-09-07
12308,2016-09-08,2023-12-29
65541,2016-09-23,2023-12-29
13983,2016-10-03,2020-09-18
16276,2016-10-03,2016-10-03
16279,2016-10-03,2016-10-03
16342,2016-10-31,2016-10-31
16347,2016-11-01,2016-11-01
16346,2016-11-01,2016-11-01
16343,2016-11-01,2016-11-01
16431,2016-11-10,2016-11-10
80183,2016-12-02,2023-12-29
85675,2016-12-02,2018-10-10
76709,2017-01-05,2023-12-29
16538,2017-01-17,2021-02-11
16544,2017-02-02,2017-02-02
79906,2017-02-28,2023-12-29
93429,2017-03-01,2023-12-29
79782,2017-03-02,2023-12-29
81696,2017-03-13,2023-06-16
77357,2017-03-16,2023-12-29
61241,2017-03-20,2023-12-29
69649,2017-03-20,2023-12-29
84767,2017-03-20,2023-12-29
40125,2017-04-04,2023-10-02
79698,2017-04-05,2023-12-29
14704,2017-06-02,2022-03-01
82303,2017-06-19,2023-12-29
83621,2017-06-19,2023-12-29
88860,2017-06-19,2023-12-29
14338,2017-06-19,2023-12-29
11891,2017-07-26,2023-12-29
75341,2017-07-26,2022-09-30
87541,2017-07-26,2023-12-29
81736,2017-07-26,2023-12-29
65402,2017-07-26,2023-12-29
16816,2017-08-07,2019-04-02
13911,2017-08-29,2023-12-29
86996,2017-09-01,2023-12-29
16851,2017-09-01,2023-12-29
11403,2017-09-18,2023-12-29
13760,2017-10-13,2023-12-29
12623,2018-01-03,2023-12-29
91668,2018-03-07,2022-06-17
84761,2018-03-19,2023-12-29
11786,2018-03-19,2023-03-14
80539,2018-03-19,2019-10-02
92402,2018-04-04,2023-12-29
17676,2018-05-01,2018-05-01
17783,2018-05-09,2018-05-09
75107,2018-05-31,2022-12-21
24053,2018-06-05,2023-12-29
14295,2018-06-07,2022-10-31
32803,2018-06-18,2021-06-03
91849,2018-06-18,2023-12-29
12449,2018-06-20,2023-12-29
80320,2018-07-02,2023-12-29
14714,2018-08-28,2023-12-29
90272,2018-09-17,2020-01-27
18065,2018-10-01,2018-10-01
36003,2018-10-01,2023-12-29
93132,2018-10-11,2023-12-29
18142,2018-10-29,2018-10-29
18143,2018-10-31,2023-12-29
14939,2018-11-06,2023-12-29
88664,2018-11-13,2023-12-29
13641,2018-12-03,2023-12-29
11896,2018-12-03,2021-08-27
16431,2018-12-03,2023-12-29
90520,2018-12-24,2023-12-29
12448,2019-01-02,2023-05-03
44329,2019-01-18,2023-12-29
18327,2019-02-08,2019-02-08
32986,2019-02-15,2023-12-29
81677,2019-02-27,2023-12-29
18420,2019-03-19,2023-12-29
18421,2019-03-19,2023-12-29
18428,2019-04-02,2023-12-29
18578,2019-05-23,2019-05-23
18592,2019-06-03,2023-12-29
43772,2019-06-07,2019-06-10
18724,2019-06-11,2023-12-29
90454,2019-07-01,2023-12-29
91937,2019-07-15,2023-12-29
91547,2019-08-09,2023-12-29
75591,2019-08-09,2023-12-29
13949,2019-09-23,2023-12-29
79785,2019-09-26,2023-12-29
90505,2019-10-03,2023-12-29
13447,2019-11-21,2023-12-29
17743,2019-12-05,2023-12-29
77037,2019-12-09,2023-12-29
77649,2019-12-23,2023-12-29
76795,2019-12-23,2023-12-29
91041,2019-12-23,2023-12-29
14579,2020-01-28,2023-12-29
16692,2020-03-03,2023-12-29
19285,2020-04-03,2023-12-29
19286,2020-04-03,2023-12-29
90664,2020-05-12,2023-12-29
90248,2020-05-12,2023-12-29
62498,2020-05-22,2023-12-29
76185,2020-06-22,2023-12-29
61516,2020-06-22,2023-12-29
87445,2020-06-22,2023-12-29
51369,2020-09-21,2023-12-29
14763,2020-09-21,2023-12-29
15291,2020-09-21,2023-12-29
82515,2020-10-07,2023-12-29
19807,2020-10-09,2021-03-19
20057,2020-11-17,2023-12-29
20191,2020-12-15,2020-12-18
93436,2020-12-21,2023-12-29
13323,2021-01-07,2023-12-29
76230,2021-01-21,2023-12-29
90455,2021-02-12,2023-12-29
80563,2021-03-22,2022-09-16
12084,2021-03-22,2023-12-29
14882,2021-03-22,2023-12-29
93246,2021-03-22,2023-12-29
75912,2021-04-20,2023-12-29
88281,2021-05-14,2023-12-29
21124,2021-06-03,2023-10-17
18312,2021-07-21,2023-12-29
75694,2021-08-30,2023-12-29
17700,2021-09-20,2023-12-29
63467,2021-09-20,2023-12-29
15850,2021-09-20,2023-12-29
13210,2021-12-14,2023-12-29
90090,2021-12-20,2023-03-14
15272,2021-12-20,2023-12-15
83597,2021-12-20,2023-12-29
22623,2022-02-02,2023-12-29
57809,2022-02-15,2023-12-29
89781,2022-03-02,2023-12-29
79452,2022-04-04,2023-12-29
22976,2022-04-11,2023-12-29
17307,2022-06-08,2023-12-29
88182,2022-06-21,2023-12-29
17942,2022-06-21,2023-12-29
86288,2022-09-19,2023-12-29
16581,2022-09-19,2023-12-29
24328,2022-10-03,2023-12-29
13688,2022-10-03,2023-12-29
12476,2022-10-12,2023-12-29
82276,2022-11-01,2023-12-29
23569,2022-12-15,2022-12-16
91611,2022-12-19,2023-12-29
84262,2022-12-22,2023-12-29
23570,2023-01-04,2023-12-29
92050,2023-03-15,2023-12-29
89138,2023-03-15,2023-12-29
11533,2023-03-20,2023-12-29
89031,2023-05-04,2023-12-29
13511,2023-06-20,2023-12-29
23942,2023-07-03,2023-07-05
23944,2023-07-05,2023-07-05
23876,2023-08-25,2023-12-29
92108,2023-09-18,2023-12-29
20190,2023-09-18,2023-12-29
24174,2023-10-02,2023-12-29
24175,2023-10-02,2023-10-02
92203,2023-10-18,2023-12-29
32942,2023-10-18,2023-12-29
90720,2023-12-18,2023-12-29
79094,2023-12-18,2023-12-29
18576,2023-12-18,2023-12-29
